Driver,Team,Stint,Compound,Start Lap,End Lap,Stint Length,Clean Laps Evaluated,Avg Lap Time,Fastest Lap,Slowest Lap,Pace Drop-off,Degradation Rate (s/lap),Fuel-Adj Deg Rate (s/lap),Pace Std Dev
ALB,Williams,1,MEDIUM,1,27,27,23,93.453,92.265,96.53,0.958,0.0746,0.1096,1.065
ALB,Williams,2,INTERMEDIATE,28,38,11,7,103.263,100.273,105.216,0.694,-0.1118,-0.0768,1.631
ALB,Williams,3,MEDIUM,39,52,14,13,90.247,89.718,90.889,-0.867,-0.0859,-0.0509,0.356
ALO,Aston Martin,1,MEDIUM,1,27,27,23,93.274,92.259,96.48,1.008,0.0797,0.1147,1.219
ALO,Aston Martin,2,INTERMEDIATE,28,38,11,9,103.143,100.747,104.375,-0.311,-0.0983,-0.0633,1.1
ALO,Aston Martin,3,MEDIUM,39,52,14,13,90.372,89.71,91.43,0.281,0.0327,0.0677,0.519
BOT,Kick Sauber,1,MEDIUM,1,26,26,23,94.67,93.156,99.761,2.35,0.1339,0.1689,1.719
BOT,Kick Sauber,2,INTERMEDIATE,27,37,11,9,104.249,102.562,105.552,1.436,0.2107,0.2457,1.109
BOT,Kick Sauber,3,SOFT,38,51,14,13,92.539,91.277,97.114,-2.402,-0.2241,-0.1891,1.471
HAM,Mercedes,1,MEDIUM,1,27,27,23,92.213,91.095,96.034,-0.48,0.0105,0.0455,1.324
HAM,Mercedes,2,INTERMEDIATE,28,38,11,9,101.555,99.711,102.757,0.494,0.0547,0.0897,1.032
HAM,Mercedes,3,SOFT,39,52,14,13,89.767,89.438,90.318,-0.161,-0.0174,0.0176,0.252
HUL,Haas F1 Team,1,MEDIUM,1,26,26,23,93.27,92.233,97.529,1.29,0.0902,0.1252,1.398
HUL,Haas F1 Team,2,INTERMEDIATE,27,39,13,11,102.664,98.854,104.263,-1.598,-0.189,-0.154,1.576
HUL,Haas F1 Team,3,SOFT,40,52,13,12,90.406,89.836,91.097,0.126,0.0076,0.0426,0.37
LEC,Ferrari,1,MEDIUM,1,19,19,17,92.918,91.989,95.951,2.074,0.103,0.138,1.022
LEC,Ferrari,2,INTERMEDIATE,20,27,8,5,105.749,102.846,109.301,2.586,0.8154,0.8504,2.178
LEC,Ferrari,3,INTERMEDIATE,28,37,10,8,102.622,100.091,103.95,-0.58,-0.1383,-0.1033,1.227
LEC,Ferrari,4,SOFT,38,51,14,13,90.419,89.748,91.674,0.232,0.028,0.063,0.608
MAG,Haas F1 Team,1,MEDIUM,1,27,27,23,93.446,92.506,95.181,0.489,0.0383,0.0733,0.802
MAG,Haas F1 Team,2,INTERMEDIATE,28,37,10,8,104.336,102.133,106.135,2.089,0.3442,0.3792,1.315
MAG,Haas F1 Team,3,SOFT,38,52,15,14,91.287,90.093,93.212,-0.433,-0.0261,0.0089,0.759
NOR,McLaren,1,MEDIUM,1,27,27,23,92.257,90.86,97.347,-1.471,-0.0342,0.0008,1.425
NOR,McLaren,2,INTERMEDIATE,28,39,12,10,101.326,97.999,103.078,-0.724,-0.1161,-0.0811,1.551
NOR,McLaren,3,SOFT,40,52,13,12,90.124,89.262,90.913,1.075,0.1233,0.1583,0.496
OCO,Alpine,1,SOFT,1,19,19,17,94.736,93.21,98.735,4.371,0.2616,0.2966,1.636
OCO,Alpine,4,INTERMEDIATE,27,38,12,10,103.335,101.215,105.511,-0.323,0.0002,0.0352,1.421
OCO,Alpine,5,MEDIUM,39,50,12,11,91.925,90.875,95.931,1.153,0.1168,0.1518,1.522
PER,Red Bull Racing,1,HARD,1,19,19,17,93.05,92.111,95.384,2.197,0.1155,0.1505,0.9
PER,Red Bull Racing,2,INTERMEDIATE,20,28,9,7,107.068,101.997,112.538,4.151,1.2263,1.2613,3.298
PER,Red Bull Racing,3,INTERMEDIATE,29,37,9,7,103.114,100.021,105.045,1.231,0.2928,0.3278,1.624
PER,Red Bull Racing,4,MEDIUM,38,47,10,8,91.077,90.136,93.219,-1.804,-0.3833,-0.3483,1.113
PIA,McLaren,1,MEDIUM,1,28,28,24,92.576,90.976,98.008,-1.886,-0.009,0.026,1.754
PIA,McLaren,2,INTERMEDIATE,29,38,10,8,102.317,99.635,103.954,-0.109,-0.0364,-0.0014,1.412
PIA,McLaren,3,MEDIUM,39,52,14,13,89.394,88.748,89.958,-0.145,-0.016,0.019,0.357
RIC,RB,1,MEDIUM,1,26,26,23,94.134,92.721,98.725,3.014,0.1547,0.1897,1.683
RIC,RB,2,INTERMEDIATE,27,37,11,8,104.216,103.213,105.969,1.568,0.2031,0.2381,1.034
RIC,RB,3,SOFT,38,51,14,13,91.957,90.735,94.814,1.678,0.1379,0.1729,1.335
RUS,Mercedes,1,MEDIUM,1,27,27,23,92.292,91.298,96.365,0.106,0.043,0.078,1.426
RUS,Mercedes,2,INTERMEDIATE,28,33,6,4,101.657,100.405,103.085,0.893,0.8705,0.9055,0.98
SAI,Ferrari,1,MEDIUM,1,26,26,24,93.045,91.9,98.699,-0.995,0.022,0.057,1.632
SAI,Ferrari,2,INTERMEDIATE,27,39,13,10,102.262,98.37,103.59,-2.214,-0.3252,-0.2902,1.535
SAI,Ferrari,3,HARD,40,50,11,9,89.727,89.415,90.475,-0.604,-0.1051,-0.0701,0.307
SAR,Williams,1,MEDIUM,1,27,27,22,93.589,92.543,96.166,1.611,0.0875,0.1225,1.074
SAR,Williams,2,INTERMEDIATE,28,38,11,9,104.126,102.207,106.095,0.8,0.1143,0.1493,1.512
SAR,Williams,3,SOFT,39,52,14,13,90.956,89.972,92.088,0.933,0.1073,0.1423,0.612
STR,Aston Martin,1,MEDIUM,1,26,26,24,93.613,92.273,99.108,-0.367,0.0427,0.0777,1.765
STR,Aston Martin,2,INTERMEDIATE,27,39,13,11,102.955,99.373,104.545,-1.682,-0.199,-0.164,1.546
STR,Aston Martin,3,MEDIUM,40,52,13,12,90.054,89.897,90.237,-0.115,-0.0088,0.0262,0.099
TSU,RB,1,MEDIUM,1,27,27,23,93.45,92.57,96.875,1.082,0.0841,0.1191,1.111
